text	label
supports	1
will be an increasing number	0
charge	0
would not be a bad idea	1
uncomfortable meeting	0
anger	0
may not	0
should act carefully	1
however fraudulent	0
disapproves	0
potential problem	0
abruptly	0
giving him medium approval	1
to protect their own interests	0
fraud	0
very clear boundaries	1
would want	1
charged	0
can and should never be	0
improvement	1
improved	1
crackdown	0
tragic	0
not in its favor	0
had been legitimate	1
may feel uneasy	0
erroneous	0
brought the peace process to a deadlock	0
with guns , bombs and soldiers	0
fierce opposition	0
falls far short	0
deprived arab land	0
victory of justice and freedom	1
meddling	0
want	1
inhumane	0
dissent	0
crimes of war	0
threatened	0
good job , buddy	1
aimed at solving the issue	1
resounding and sustained fall	0
committing wrong - doings	0
beyond reasonable bounds	0
warlike tone	0
far less than	0
would not hurt taiwan 's interests	1
the evil that must be destroyed	0
protest	0
resorting to verbal quibbling	0
the most magnificent	1
assured	1
chanting	0
adversarial us position	0
a much better position	1
dominant	1
the base of evil	0
anthology of rhetorical follies	0
being biased in favour of	1
extremely incompetent	0
confidence and high esteem	1
massively rigged	0
clearly violate	0
sowing the seeds of hatred and malice	0
the importance of china	1
fear of	0
being dishonorable	0
want	1
all these are eyesores	0
collapse	0
bias against	0
will again attack	0
criticizing	0
not safe	0
turned thugs	0
constitute a serious insult	0
great	1
will have to pour a lot of money	0
fears	0
rigging	0
sensible	1
resistance	0
rigged and unacceptable	0
charged	0
believe	1
poor	0
supported	1
an allegation	0
has been inclined toward	1
security revenge	0
has succeeded	1
agreeable	1
have it better here	1
accused	0
emphasized	1
most glaring	0
that chavez has to be killed	0
called on	1
support	1
without just compensation	0
how accustomed they are to trickery	0
ugly travesty	0
were , and still are , hoping	1
taking care to avoid directly criticizing	0
warned	0
very unfavorable impact on relations	0
real increase	0
remained poor	0
an ability to look decades ahead and not let oneself get beaten down	1
demands	1
supporting	1
astounded	0
very constructive	1
intimidate	0
irresponsible	0
spoke out against	0
optimistic and hopeful	1
under the pretext	0
hardly qualify	0
deep unpopularity	0
will continue to show american power and purpose in support of	1
criticized	0
were approved	1
we also owe those in uniform the resources they need to maintain a very high state of readiness	1
must not use double standards	0
charging	0
wanted	1
lashed out	0
persuade	1
are committed	1
accused	0
however	1
club fed	0
provide support to the us , as it did	1
disagreed	0
want to	1
would cause japan and the republic of korea ( rok ) feel disturbed	0
that will result in the creation of more jobs	1
prevented	0
refuses	0
the sense of frustration	0
does not serve the interest of peace	0
society ruled by law	1
is not in control	0
see	0
to do away with	0
noted critically	0
what begins to happen when we hate our friends	0
is aghast	0
hoping	1
refused	0
is harboring deep hatred	0
widely popular	1
is being sharply criticized	0
which stood in the way of honest negotiations	0
well recognized	1
degrade the human condition	0
until ex - president carlos menem changed course	1
hold the course of democracy dear	1
ambiguous	0
endorsement	1
will rise against	0
supports	1
the main problem	0
will die	0
threat only to	0
fuel - guzzling	0
have all suffered the same fate	0
most vicious war maniac	0
not sufficient	0
we 're going to find a way around it	1
pursuance of a vendetta	0
of course	0
severely damaged	0
imprudence	0
failure would be a foregone conclusion	0
dismissed	0
fear	0
in the axis of evil	0
in the eyes of	1
of chained and humiliated	0
ballooned far beyond	0
objected	0
at best	0
scaring away	0
something so petty	0
be considered	1
achievements	1
islands will go under	0
refused to discuss	0
agreed	1
will not	0
against all hope	0
was critical	0
raising concerns	0
venezuela 's strong slap on the face of the united states	1
recognize	1
angered	0
they are a bit of a tangle	0
a rising tide of international criticism	0
cages	0
languages without nuances	0
superpower has entered a legal fog	0
when it suits him	0
mate up with terrorist organizations	0
west 's failure	0
explosive	0
such concerns	0
disapproved	0
imperialist forces	0
pursuit of its global agenda	1
have criticised	0
really abuse human rights	0
terrible equation	0
concentration camp	0
support	1
pretended to be abiding by the decision	0
request asking	1
seeks	1
severely endangered	0
wanted	1
could undermine	0
resolve all issues peacefully	1
whether	0
running out of meaningful options	0
anger	0
pretext to crack down on legitimate dissent	0
good	1
his best	1
has failed for a decade now	0
retreat	0
inhuman	0
calm	1
concern	0
markedly different	0
hoped	1
without room for rigging	1
that terrible day	0
timely	1
takes into consideration	1
spewed out	0
expressed concern	0
charged	0
the will of the people is realised	1
would n't it be better	1
ever firmer	1
take revenge	0
is charged	0
would use every possible peaceful means at our disposal	1
squeezing	0
misguided policy	0
kill americans , get arrested , then get a pay raise from america	0
continue to key up tensions	0
normal relations	1
jeopardizing	0
usually committed	0
loyal	1
dissatisfaction	0
work better than anything i 've seen so far	1
was seen	0
is either angling to end the embargo or inching ever closer to dementia	0
his mdc lot	0
inevitably falls	1
against terrorism	0
continued growth	1
is almost impossible	0
will allow emissions to increase without any time frame , eternally	0
shouted	0
disapprove	0
not knowing the meaning	0
the criticisms	0
agreed	1
who does not miss an opportunity	0
success	1
simple lack of respect	0
used to further his electoral chances	0
lashed out	0
active	1
angry	0
support	1
costly burden	0
warned	0
no reason at all	0
picked a quarrel	0
emphasized	1
recognizes	1
were in the right	1
one of the greatest problems	0
realise	0
calling for	1
the twin towers of new york may not have collapsed	1
however	1
appeasement	0
opposition	0
peace will not be gained through war	0
ever more serious	0
distress	0
telling	0
is at stake	0
sympathy	0
feel disturbed	0
stolen the election	0
fair	1
were considered	0
called for	1
raised the pitch	0
most disturbing	0
saw	0
provoke	0
would have to be drastically revised and curtailed	0
failed	0
it 's shameful	0
dissatisfaction over	0
suffered	0
every effort possible	1
friendship and cooperation	1
are concerned	0
will not be able to attain	0
fantasy of a world kingdom	0
evil empire	0
	0
believes in	1
other slightly troubling images	0
inhumane and degrading	0
had handed an official protest	0
oligarchic elite	0
wanted	1
dialogue among civilizations	1
denying	0
feel	1
does not , of course , guarantee success	0
great people	1
lacks a coherent	0
infuriating	0
heavy - handed	0
seems to be	1
dissatisfaction	0
abhorrent	0
the top violator of human rights of the last christian year	0
because of the legal nuances	0
would accept	1
will not agree	0
inevitably succumb	0
thus shattering	0
antagonize	0
guaranteeing peace , security , and stability for all nations	1
lack of sincerity	0
the axis of evil	0
easily qualify as repressive and violating human rights	0
sent alarm bells ringing	0
double standards	0
steel cages	0
is optimistic	1
policy	1
bright	1
biased propaganda	0
sought	1
bush has made a 'big mistake	0
many thousand generously funded	1
have also criticized	0
support	1
exceptionally generous	1
in spite of	0
fear and tension	0
protests	0
breaking fundamental concepts	0
we look at a bleak future	0
however	0
insufficient guarantees in themselves	1
unfair	0
might agree	0
gaffe	0
rip - off	0
confers a comforting sense of personal and national vindication , when no other prop can be found	0
provoking	0
were also appealing	1
like	1
support	1
seeks to hide	0
is ignoring its commitments in the current situation	0
declared	1
one image too many	0
enormous implications	0
may not receive a fair trial	0
in support	1
has revealed george bush 's talents as a war leader	1
would be interested	1
did not want to give up	0
of all places	0
is colored by leftist ideology	0
will not be tolerated for long	0
objectively	1
murderous hatred	0
free and fair	1
liberation and independence	1
tens of thousands	0
is a perverse place	0
seeks to hide behind a military uniform	0
regard	1
pushed	1
exalted	1
yield	0
hope	1
do not help	0
have called for	1
policy of provocation	0
frustrated	0
as punishment for not voting the correct way	0
tilted in favor of	1
people who love freedom	1
grief and anguish	0
mouthy	0
flawed	0
leak over the frontiers	0
requesting	1
excuses	0
accuses	0
no doubt	0
much more than what one could have expected	0
ousted	0
charges brought	0
is fully biased to israel	1
endorse	1
injudicial shootings	0
am sure	0
disqualified president	0
obstacle	0
so many uncertainties	0
falls far short	0
why is it not considered equally legitimate	1
on the rubble of the legitimate palestinian rights	0
concern	0
british puppet like tsvangirai	0
long refused	0
will surely be on the president 's lips	0
same as before	0
dishonored the uniform	0
having opted for	1
has asked	1
often must cope without	0
nothing that threatened the integrity	1
preying	0
goal	1
at a loss	0
devastating consequence	0
cuban club fed	0
took it upon himself	0
as quickly as possible	1
protect the environment	1
foretaste of resistance	0
was supported	1
recipe for disaster	0
legal protection and backing	0
are with	1
renegade province	0
to be brought to justice	1
hatred	0
maybe	1
a chilly reception	0
polarisation , tension and incidents of violence and intimidation	0
crude example	0
like clinton	0
meddling	0
madness	0
disapproval	0
these values and ideas	1
attack on our global village	0
are carrying signs appealing	1
the problem , he went on , is	0
unexpectedly tough	0
proactive approach	1
expressed his hope	1
unheeded	0
loyal	1
by some ironical trick of history	0
called on	1
threatening	0
mistake	0
too small	0
the right direction	1
believing	0
criticized	0
inhumanely	0
will remain unchanged	0
reproached	0
imperil	0
do - it - our - way	0
do not intend	0
creates the impression	0
declaration of war	0
favor	1
immediately blasted	0
conceal	0
strugglers	1
violent protests	0
had nothing to do	0
on the verge of a major breakdown	0
welcomed	1
the unconditional support	1
opposition	0
is afraid of	0
using violence , intimidation , special laws and dirty tricks to fix the two - day election	0
only major obstacle	0
generally benefit	1
the illusion	0
oppressed	0
certain apathy	0
build understanding	1
late	0
refused by	0
even democratically elected and at war against evil	1
interfering	0
do not want	0
accepted	1
is accused	0
resulted in many people being killed or tortured that did n't need to be	0
there should not be surprises	1
abandoned	0
refusal	0
outcry	0
thankfully	1
elevates its image in international society	1
charge	0
was very satisfied	1
do not possess the necessary expertise	0
are masterminded	0
would undermine	0
high time	0
this is bullshit	0
axis of evil	0
bad	0
can not	0
questioned	0
does a poor job	0
has provoked concern	0
state terrorism	0
is being criticized	0
a view	1
was uncomfortable	0
i will have won	1
first step	1
israeli abuses against palestinians	0
catastrophe	0
damning report	0
bleeding hearts	0
could be sympathisers	0
enemy	0
taking advantage of	0
when it was lenient	1
paint a bad picture	0
defend	1
it will just be dragged along	0
strictly abide	1
want	1
will urge	1
a petty - minded populist who had done great damage to his country 's economy	0
return to confrontation	0
without	0
can ask	1
enjoy	1
frightening	0
object	0
more competent	1
anything went	0
fend off	0
look forward	1
free and fair	1
pot calling the kettle black	0
they face the risk	0
ripple effect	0
parts of an axis of evil	0
axis of evil remark	0
sudden deterioration	0
opposes	0
because it believes in victory	1
great leader	1
violent protests	0
recognizes	0
want	1
fails to meet the standard of being free and fair	0
no country	0
will fight on	0
would be a disaster	0
human rights violations	0
free and fair ballot will remain a mirage	0
confess	0
perpetrates spiteful conduct of all kinds worldwide	0
assassinations	0
called on saturday for	1
sacrifice himself	0
his hands would be empty	0
american imperialists	0
lending any support	1
no recognition of	0
is criticized	0
opposes	0
based on peace and justice	1
israeli expansionist plans	0
provocative	0
urged	1
the evil empire	0
clearly welcomes	1
put on a spectacle	0
systematic campaign of violence	0
that 's what happened in argentina	0
the crisis is in a bind	0
devastatingly sarcastic	0
one of the most dangerous places on earth	0
planning called for	1
individual acts of insubordination	0
provocation	0
thugs	0
living in fear	0
negative position	0
endorsed	1
has offered unequivocal political support	1
supports	1
that would be independent	1
was a priority goal	1
the greatest evil	0
humanitarian law was violated regularly	0
acting arbitrarily	0
feel	1
troublemaker	0
one can only speak of mismanagement	0
allegations	0
it is dangerous	0
insisted	0
unsure	0
perception	0
hardest	0
not stained with blood	1
was perceived	0
doggedly	0
mutual respect	1
eagerness	1
to remove the legitimacy of	0
can support	1
has pledged	1
punishment	0
one - sided approach	0
severely reduces	0
would support	1
wants	1
glossing over	0
ran against	0
on the rise	0
totally reasonable	1
compared	0
brutal	0
baseless charges	0
will push for	1
on behalf of my country	1
axis of evil	0
agreed	1
denunciation	0
declaration of support	1
rejected	0
their auxiliaries from the northern alliance	0
ridicule	0
tamed inflation	1
remain vigilant and are totally committed	0
rejected	0
accusing	0
credible	1
was a good thing for the hemisphere	1
he will be there [ in ramallah ] for as long as i remain prime minister	0
stand with them in the same trench steadfastly	1
feared by	0
inconsistent	0
suffering from difficulties	0
growing unrest	0
committing themselves	1
reduced to objects	0
timid warnings	0
always underscores	1
dismissing	0
undermine	0
empty - handed	0
not to deal with	0
had no confidence	0
can not wholly agree with	0
to understand	1
axis of evil remark	0
continued violence and aggression	0
those who bet on the dollar will lose	0
reaffirmed	1
double standards	0
has supported	1
rising chorus of domestic and international outrage	0
accepted	1
challenged	0
naked pursuit	0
false	0
humanely	1
wish	1
have screamed	0
see	0
be condemned by	0
such an attitude	0
like wild beasts	0
satisfactorily	1
inevitably	0
effectively ruled	1
abstractly recommend	1
a power	1
boasted	1
intervention of domestic affairs	0
appeared to go well	1
reticence	0
u . s . domination	0
forestalling further oil price declines	0
will not give up terror	0
as if	0
exposed	0
to elicit much support abroad	0
scenes of anarchy	0
at the expense of	0
was turned down	0
criticism	0
had praised	1
showered upon favours	0
possible regression	0
axis of evil	0
based on justice	1
axis of evil	0
breaking their limbs	0
even worse	0
perceived	1
note with deep concern	0
champion of freedom	1
meaningless	0
would want	1
is critical	0
on suspicion of	0
opts	1
cried	0
devastating	0
denounced	0
my promise	1
going to crush my nuts	0
axis of evil	0
promotion	1
to back	1
feel	0
sit in judgment	0
benefits	0
living in peace	1
will employ a crafty trick	0
huge excitement	1
would not find it at all strange	0
may be seen behind terror	0
tough guys	0
highly in favor	1
worse criticism and rejection	0
cooperate	1
now let us compare	0
have advocated	1
goes against the facts	0
problem	0
has regarded	0
stressing	1
was unable to explain	0
willingness to support	1
the lobbying	1
desperate last - minute act	0
subtlest and most profound	1
the goal set	1
face justice	1
bad	0
the exaggeration	0
many mistakes	0
excuses	0
keepers	0
had taken serious steps to ensure the personal safety	1
poor	0
attack	0
strong initiative	1
downplayed	0
the gitmo gandhis	0
commended	1
disapproval	0
but will also disrupt	0
alleged	0
to live in friendship and cordiality	1
aperitif for the probable democratic coup	0
israel 's atrocities	0
recognizing	0
firm support	1
intended	0
a veritable media triumph	1
is determined	1
successes	1
thoroughly disgraceful and unacceptable	0
greater elaboration	1
axis of evil	0
change to disappointment	0
war - mongering	0
should earnestly abide	1
might have been more controllable then	1
accuses	0
had disagreed	0
seething with anger	0
opprobrium	0
defying	0
wants	1
expresses its discontent	0
under the excuse of fighting terrorism	0
current understanding	0
marred by	0
evade its responsibility	0
the doubts	0
was particularly disheartening	0
loaded against him from start to finish	0
not to exploit the calm	0
unreasonably	0
hampering	0
would not be out of necessity	0
eradicate	1
scheme	0
her former friend as an enemy and her former enemy as a friend	0
defy	0
contributed greatly to the success	1
sensing	0
provoked by the fact	0
impossible to achieve coexistence	0
may all hope	1
left has compounded anti - americanism into dogma	0
confidence	1
disapproves	0
have made every israeli an enemy and a target	0
decision to reject	0
cataclysmic consequences	0
to deny	0
certain countries resort to	0
were characterised by - - among others - - intimidation	0
hopes	1
forced to	0
would be badly militarized when	0
crush	0
will press on	1
nothing was done to prevent the disaster awaiting	0
rebelled	0
axis of evil rhetoric	0
the invitation of kingmakers to accept the crown	1
disguises	0
very likely continue to lose our edge	0
very abrupt	0
badly - resolved problems	0
many absurdities , exaggerations and fabrications	0
patience	1
it becomes , in a weird way , less monstrous	0
several occasions	0
targets are the groups that are regarded as enemies	0
threaten to compromise	0
spread peace	1
advocates of human rights	1
grief and sorrow	0
burn out	0
axis of evil	0
more leisurely	1
be seen	0
care	1
fears	0
did not support	0
tighter than death row	1
wishes to commend	1
see	0
always likes to	1
peaceful	1
manichaean	0
his ship has been sailing towards a wrong direction for far too long	0
do n't push	0
imposed on the palestinian people by force for more than 34 years now	0
fair	1
unconditionally	1
support	1
were suffering	0
shouting insults	0
criticism	0
angered	0
rigged	0
accused	0
great importance	1
to rid	1
flawlessly	1
running rampant	0
sought to project itself	1
nor does it seem proper	0
appears to be sidestepping the conventions	0
took advantage	0
railing	0
with the guerrillas in particular , we supply the dead , while you enjoy politics	0
were merely a shenanigan aimed at continuing with its policy of agression against us	0
must condemn	0
called on	1
promised	1
war crimes	0
possible excesses and violations of rights	0
charges	0
hopes	1
totally disagree	0
a oneness	1
urge	1
culprits	0
war against islam	0
invited	1
no confidence	0
should be tried by an international tribunal	0
near impossible	0
once looked impossible to win	0
where the hell it is	0
where there are not even polls	0
the new enemy of america	0
were surprised	0
to openly confront	0
have the final say	0
has no love lost	0
odious	0
binding wounds	1
still wants	1
ending	1
the concerns voiced	0
ambiguity	0
urged	1
dishonoring	0
just and acceptable political framework	1
unimpressed	0
ever	0
exacerbating	0
difficult	0
further expressed alarm	0
nothing more	0
will be invited	1
am confident	1
support	1
hold	1
respecting	1
to express openly dissenting political and religious views	0
they get fed better than us	0
tried to encourage	1
voices criticizing	0
warned	0
immediate support	1
wants	1
seeks	1
can be stabilized	1
condemnation	0
shown no inclination	0
criticize	0
uphold	1
we can not allow	0
his aggression	0
those who sow the wind will reap a whirlwind	0
suppression of palestinians	0
would prefer	1
recommendation	1
appreciates	1
blessed	1
appear to make it easier to rig the vote	0
admitted	0
welcomed	1
taking advantage	0
charges	0
charge	0
violated	0
pave the way for social rebellion	0
break promises	0
immediate	0
threat	0
clearly at this point there is no cause	0
devastating what remains	0
plans	1
questions can be asked	1
not my problem	0
axis of evil dogma	0
worried	0
criticism	0
badly	0
accused	0
will now agree	1
criticisms mainly focus	0
blame	0
feeling	1
value	1
axis of evil	0
now is the time to build our future together	1
to recognise	1
favouring independence	1
rejecting	0
join forces	1
but is it really true	0
old man	0
criticizing	0
ambitious	1
pursue	0
already disastrous	0
preference	1
distorts	0
preference	1
is insisting	0
under no circumstances	0
m worried	0
our renegade province	0
exceedingly high	0
cast away the chance	0
unfortunately	0
would amount to a flagrant violation	0
surged	1
memorandum of protest	0
have damaged so much	0
first major	1
wants	1
did not intend to ratify	0
increase the palestinians ' suffering and encourage the israeli right - wing stands	0
more alarming faults	0
defiance	0
axis of evil	0
moments of sheer upliftment and exhilaration	1
lavished	0
too harsh	0
the blind and murderous rage of a defeated colonial power	0
palestinians are bent on destroying	0
its self - seeking manipulation	0
is interested	1
that regard	1
thanked	1
turned down	0
clinging to a new conspiracy	0
so - called stop - over tactic	0
arm - twist	0
anti - bush hot winds	0
will undoubtedly rub off	0
fervently escalates a campaign of bludgeoning its citizens	0
devoted to promoting and safeguarding human rights and fundamental freedoms	1
not to embark on the suicidal path that he has chosen	0
would make it possible	1
has supported	1
cautioned	0
axis of evil	0
maintains	0
more ineffective	0
so conservative that it makes pat buchanan look vegetarian	0
aggressions against	0
criticized	0
holds arafat responsible	0
accuses	0
for more than two years	0
popular support	1
voted	1
not welcome	0
be reproached	0
severely	0
is obviously afoot	0
could not be said to adequately comply	0
what is left of the army 's reputation	0
unnecessary restraint ,	0
and punish those guilty	0
tried	1
wrote a critical comment	0
frustrate as many voters as you can	0
violated his military oath	0
can not refuse offering cooperation	1
thugs	0
have supported	1
congratulate	1
a revolving door	0
disregard	0
chaotic	0
warned	0
the accusations	0
this is a positive factor	1
abundant reserves of energy	1
is even more troubled	0
violence and intimidation	0
was justified	1
has unashamedly seen fit	1
enthusiastic	1
rigged	0
consider	1
has shown effectiveness	1
stubborn enough	0
under the pretext	0
exemplary , free , fair and peaceful	1
admiration	1
not interfere	1
freak show	0
hailed	1
is also interested	1
so there 'll be more and more poor people	0
is not up to	0
devastating	0
will accept	1
thank	1
fearing	0
readily	0
were seething	0
so - called war against terrorism	0
firm support	1
not a man who likes to improvise	0
to send a memorandum of protest	0
numerous serious abuses	0
advice	1
to request	1
last - ditch	0
well - organized participation	1
beyond the reach of any legal regime	0
were also uncertain	0
support	1
runaway	1
growing public interest	1
promises are cheap	0
nations that are so dictatorial	0
commitments	1
even against vehicles transporting pregnant women in labor and against unarmed citizens	0
expressed sympathy	0
supported	1
every sector 's possibilities	0
leaves plenty to be desired	0
should be cause for a muslim war	0
most unfortunate part	0
chaotic	0
threatening	0
will be regarded by	0
watertight	1
accommodate	1
defends a different posture	1
accused	0
stuck in the middle	0
insist	1
he was going to demand	0
hope	1
is always a tough call	0
the american vulgarity	0
formulate , implement , or benefit from policies that undermine or injure zimbabwe 's democratic institutions	0
reserves	0
supported	1
would stabilize	1
undermining	0
very honor	1
defended	1
can not integrate itself	0
criticizing not	0
universal values	1
a true ally	1
realizes	1
just the way the prisoners like it back home	0
have applauded 70 times	1
still persisted	1
offer private recommendations	1
revolutionary process	1
peace be upon him	1
the wrath of	0
acquires special relevance this year	1
grief and anguish	0
more interested	1
pretext	0
regards	0
prevents	0
is her nemesis	0
are getting coddled	0
continue to urge	1
presidential folly that will sully the name of the armed forces	0
of all the unconscionable things	0
should be opportunities	1
it seems doubtful	0
a valentine 's day gift for the polluters	0
shameful mum	0
agitated	0
having success	1
complaints	0
territorial ambition	0
will put up with	0
able	1
assassinate innocent activists and citizens	0
has not satisfied	0
to ask	1
invited	1
have refused to serve	0
its own inhuman behavior	0
is happy	0
pro - american	1
promised	1
was pleased	1
threatening to further marginalize	0
conquering	0
strong sense of justice	1
is going to be interesting	1
perhaps it is perverse	0
